Course,Num_instructor
BE 402,1
BE 403,1
BE 601,1
BE 605,1
BE 608,1
BE 611,1
BE 691,3
CE 202,1
CE 304,1
CE 305,1
CE 306,1
CE 307,1
CE 309,2
CE 402,1
CE 403,1
CE 602,2
CE 605,1
CE 613,1
CE 622,1
CE 626 ,1
CE 629,1
CE 631,1
CG 501,1
CG 506,1
CG 507,1
CG 511,1
CG 512,1
CG 601,1
CG 604,1
CG 608,1
CH 202,2
CH 301 ,1
CH 502,1
CH 508,1
CH 512 ,1
CH 517 ,1
CH 519 ,1
CH 521 ,1
CH 622,1
CH 629 ,1
CH 632 ,1
CL 251,1
CL 321,1
CL 324,1
CL 352,1
CL 422,1
CL 424,1
CL 602,1
CL 604,1
CL 625,2
CS 327,1
CS 328,1
CS 432,1
CS 614,1
EE 331,1
EE 333,1
EE 341,1
EE 609,1
EE 651,1
EE611,1
EH 301,1
EH 302,2
EH 602,1
EH 605,1
EH 608,1
EH 610,1
ES 104,5
ES 105,2
ES 106,1
ES 202,2
ES 212,3
ES 214,1
ES 215,1
ES 216,1
ES 221,4
ES 301,1
ES 332,2
ES 333,1
ES 334,1
ES 404,1
ES 608,1
ES 615,1
ES 616,1
ES 622,1
ES 631,2
ES 632,2
ES 634,1
ES 637,2
ES 641,1
ES 643,1
ES 648,1
ES 652,1
ES 654,1
ES634,1
FP 101,1
FP 602,6
HS 103,1
HS 104,1
HS 111,1
HS 112,1
HS 151,1
HS 201,2
HS 223,1
HS 305,1
HS 406,1
HS 421,1
HS 422,1
HS 423,1
HS 507,1
HS 508,1
HS 513,1
HS 514,1
HS 515,1
HS 517,1
HS 631,1
HS 635,1
HS 642,1
HS 644,2
HS 648,1
IN 302,1
MA 102,2
MA 202,6
MA 501,2
MA 502,2
MA 510,1
MA 602,1
MA 605,1
MA 622,2
MA 623,1
MA 624,1
MA 625,1
MA 629,1
MA 632,1
ME 322,1
ME 332,1
ME 352,1
ME 391,1
ME 605,1
ME 626,1
ME 628,1
ME 645,1
ME 653,1
MS 202,1
MS 304,1
MS 406,1
MSE 201 (N),1
MSE 302,1
MSE 307,1
MSE 309,1
MSE 352,1
MSE 626,1
MSE 628,1
MSE 630,1
PH 101,2
PH 504,1
PH 505,1
PH 506,2
PH 507,1
PH 607,1
PH 6XX,2
